old_url,new_path
https://help.oxfordabstracts.com/knowledge/faq-reviews,/03-reviewing/
https://help.oxfordabstracts.com/knowledge/faq-submissions,/02-submissions/
https://help.oxfordabstracts.com/knowledge/filtered-committee-view-assigning-specific-categories-to-committee-members,/04-decisions/assigning-categories-to-committee-members
https://help.oxfordabstracts.com/knowledge/homepage-feature-for-virtual-conference,/08-conference-platform/setting-up-the-homepage-for-your-conference
https://help.oxfordabstracts.com/knowledge/how-admins-can-amend-existing-delegate-registration-orders,/07-delegate-registration/how-admins-can-amend-existing-delegate-registration-orders
https://help.oxfordabstracts.com/knowledge/how-an-attendee-can-delete-their-oxford-abstracts-account,/11-account-administration/deleting-your-oxford-abstracts-account
https://help.oxfordabstracts.com/knowledge/how-attendees-can-complete-the-registration-form-when-a-ticket-is-bought-on-their-behalf,/07-delegate-registration/completing-registration-when-someone-bought-your-ticket
https://help.oxfordabstracts.com/knowledge/how-attendees-can-download-the-programme-schedule,/14-for-attendees-exhibitors/how-attendees-can-download-event-schedules
https://help.oxfordabstracts.com/knowledge/how-do-i-contact-the-event-administrator,/14-for-attendees-exhibitors/how-do-i-contact-the-event-administrator
https://help.oxfordabstracts.com/knowledge/how-to-add-add-ons,/07-delegate-registration/adding-add-ons-to-an-existing-order
https://help.oxfordabstracts.com/knowledge/how-to-add-chairs-email-addresses,/06-programme-exports-reports/adding-chair-s-email-addresses
https://help.oxfordabstracts.com/knowledge/how-to-attach-a-submission-to-a-symposium-as-an-admin,/09-add-ons/collecting-symposia
https://help.oxfordabstracts.com/knowledge/how-to-bookmark-sessions-on-the-event-schedule,/08-conference-platform/bookmarking-sessions-on-the-event-schedule
https://help.oxfordabstracts.com/knowledge/how-to-bulk-upload-and-automatically-assign-files,/02-submissions/bulk-upload-and-automatically-assign-files
https://help.oxfordabstracts.com/knowledge/how-to-change-the-owner-of-a-submission,/02-submissions/changing-the-owner-of-a-submission
https://help.oxfordabstracts.com/knowledge/how-to-chase-up-late-reviews,/03-reviewing/chasing-up-late-reviews
https://help.oxfordabstracts.com/knowledge/how-to-configure-invoices-and-receipts-for-delegate-registration-2.0-2023-version,/07-delegate-registration/configuring-invoices-and-receipts-for-delegate-registration
https://help.oxfordabstracts.com/knowledge/how-to-create-a-certificate,/09-add-ons/creating-a-certificate
https://help.oxfordabstracts.com/knowledge/how-to-create-a-multi-language-submission-form,/02-submissions/creating-a-multi-language-submission-form
https://help.oxfordabstracts.com/knowledge/how-to-create-announcements-on-virtual-conference,/08-conference-platform/creating-announcements-on-conference
https://help.oxfordabstracts.com/knowledge/how-to-create-coupon-codes-for-delegate-registration,/07-delegate-registration/creating-coupon-codes-for-delegate-registration
https://help.oxfordabstracts.com/knowledge/how-to-create-the-reviewer-form-and-assign-reviewers,/03-reviewing/creating-the-reviewer-recruitment-form-and-assign-categories
https://help.oxfordabstracts.com/knowledge/how-to-create-your-delegate-registration-form,/07-delegate-registration/creating-your-delegate-registration-form
https://help.oxfordabstracts.com/knowledge/how-to-create-your-delegate-registration-tickets-for-your-event,/07-delegate-registration/creating-your-delegate-registration-tickets-for-your-event
https://help.oxfordabstracts.com/knowledge/how-to-create-your-event-website,/08-conference-platform/creating-your-event-website
https://help.oxfordabstracts.com/knowledge/how-to-download-invoices-and-receipts,/07-delegate-registration/downloading-invoices-and-receipts
